district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"5,638,934","5,162,140","476,794",24.7,27.1,10.0,27.2,29.7,14.1
370,Bargarh,"288,787","276,943","11,844",31.3,33.1,9.2,39.4,42.1,16.1
371,Jharsuguda,"75,689","62,404","13,285",22.9,30.5,8.8,26.8,36.2,12.0
372,Sambalpur,"192,679","165,966","26,713",35.6,43.9,12.7,37.5,45.6,17.8
373,Debagarh,"73,051","71,090","1,961",38.6,40.4,14.3,47.3,49.6,18.1
374,Sundargarh,"288,540","245,093","43,447",28.9,39.2,8.0,28.0,36.1,12.3
375,Kendujhar,"268,437","254,401","14,036",28.1,30.7,10.5,30.0,32.9,11.6
376,Mayurbhanj,"525,752","510,567","15,185",39.9,42.0,10.8,41.6,43.7,16.1
377,Baleshwar,"248,687","234,873","13,814",11.4,11.8,8.7,21.9,23.2,11.1
378,Bhadrak,"59,040","51,266","7,774",8.1,8.1,7.7,7.9,7.8,8.6
379,Kendrapara,"80,508","76,341","4,167",10.0,10.2,6.8,11.1,11.2,10.2
380,Jagatsinghapur,"78,060","72,475","5,585",11.5,11.7,9.9,14.0,14.4,10.2
381,Cuttack,"174,489","130,081","44,408",13.8,15.5,8.9,13.7,14.2,12.5
382,Jajapur,"66,143","61,247","4,896",6.8,6.9,6.0,7.3,7.3,7.5
383,Dhenkanal,"94,981","89,549","5,432",15.1,15.8,7.6,16.4,17.1,9.7
384,Anugul,"165,573","153,634","11,939",26.7,29.3,9.3,26.8,29.5,12.3
385,Nayagarh,"59,042","55,526","3,516",11.0,11.2,7.4,12.8,13.2,9.2
386,Khordha,"146,313","67,116","79,197",8.8,8.2,9.8,13.5,11.7,15.4
387,Puri,"123,215","106,284","16,931",7.7,7.5,9.0,14.8,15.1,13.3
388,Ganjam,"511,745","452,544","59,201",30.9,35.0,11.3,29.2,32.9,15.9
389,Gajapati,"138,026","130,386","7,640",49.7,53.3,17.4,46.8,50.2,21.6
390,Kandhamal,"161,834","155,169","6,665",42.2,44.3,11.8,43.4,46.0,18.6
391,Baudh,"93,830","92,132","1,698",35.5,36.6,14.1,42.7,44.0,17.1
392,Subarnapur,"105,066","100,722","4,344",32.8,34.1,15.1,35.2,36.7,17.9
393,Balangir,"250,645","237,626","13,019",28.4,30.9,8.6,30.6,32.9,13.6
394,Nuapada,"137,283","134,204","3,079",36.8,38.0,16.5,44.5,46.0,18.2
395,Kalahandi,"304,640","295,390","9,250",35.9,37.8,11.2,38.6,40.5,15.5
396,Rayagada,"209,090","195,903","13,187",41.3,45.5,13.8,42.2,46.3,18.1
397,Nabarangapur,"268,265","258,740","9,525",42.4,44.0,15.1,43.5,45.2,21.9
398,Koraput,"309,353","289,223","20,130",40.4,45.6,13.7,44.1,49.0,18.1
399,Malkangiri,"140,171","135,245","4,926",42.3,44.2,15.4,45.3,47.3,20.7
